0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
34.5,d_19970401,49.2,37.6,9.8,1.7,0,0,16.4,7.9,1.8,0.5,0
41.2,d_19970501,40.2,23.1,0.6,0,0,0,18.6,12.7,3.2,0.1,0
65.1,d_19970601,11.9,4,0,0,0,0,23.1,8.8,0.8,0,0
60.3,d_19970701,13.6,4.9,0.4,0,0,0,26.1,10.6,1.9,0.5,0
65.5,d_19970801,6.7,0.6,0,0,0,0,27.8,10.8,0.4,0,0
75.8,d_19970901,18.9,8.4,0.6,0,0,0,5.4,1.2,0,0,0
67.6,d_19971001,31,14,5.9,2.7,0,0,1.5,0,0,0,0
44.8,d_19971101,54.2,26.7,5.7,2.5,0,0,0.9,0,0,0,0
31.5,d_19971201,67.9,40.8,8.4,4.1,0,0,0.6,0,0,0,0
77.8,d_19980101,18.3,7.8,3,0.1,0,0,3.8,1.5,0,0,0
76,d_19980201,11.9,5,0.7,0,0,0,12.2,5.7,1.5,0.3,0
58.4,d_19980301,3.4,0.1,0,0,0,0,38.2,19.7,6.8,3.1,1.4
79.7,d_19980401,6.9,4,0,0,0,0,13.2,3.4,0,0,0
54.1,d_19980501,28,10.4,0.1,0,0,0,17.8,5.1,0.3,0,0
46,d_19980601,3.2,0.2,0,0,0,0,50.7,37.4,23.8,14.4,3.7
35.5,d_19980701,28.4,16.1,7.3,3.2,0,0,35.9,28.6,11.3,6.4,1.9
24,d_19980801,25.4,15,2.1,0,0,0,50.5,42.4,27.5,20.9,9.2
27.1,d_19980901,26.4,18,5.4,0.4,0,0,46.5,33.6,18.6,9.1,2.5
31.9,d_19981001,27.8,17.5,9,3.6,0,0,40.3,28.6,17.7,10,3.1
31.5,d_19981101,32.7,20.6,8.9,3,0,0,35.9,25.5,12.2,5.9,1.3
31.7,d_19981201,48.8,37,18.2,11.1,2.4,0,19.5,11,1.8,0.3,0
37.2,d_19990101,35.7,23.4,6.9,1.7,0,0,27.1,14.2,2.2,0.2,0
45.3,d_19990201,29.1,15.9,3.8,0.3,0,0,25.6,11.6,2.5,0,0
30.3,d_19990301,69.3,54.1,25.8,11.4,2.4,0,0.4,0,0,0,0
42,d_19990401,29.8,17.7,6.1,0.7,0,0,28.1,19.8,3,0.6,0
61.7,d_19990501,7.2,0.6,0,0,0,0,31.1,13.6,0,0,0
37.9,d_19990601,4.6,0.9,0,0,0,0,57.4,43.6,14.4,4.5,0.8
3.2,d_19990701,0,0,0,0,0,0,96.9,90.9,62.4,37.7,10.8
6.8,d_19990801,0,0,0,0,0,0,93.2,84.7,49.7,27.9,4.4
16.2,d_19990901,0.7,0,0,0,0,0,83.1,62.4,25.5,9.1,1.6
41.8,d_19991001,7.2,3.6,0,0,0,0,50.9,27.4,4.3,1.7,0
52.4,d_19991101,9.4,5.9,0,0,0,0,38.3,16.4,2.1,0.1,0
44.2,d_19991201,6.7,2.5,0,0,0,0,49.1,23,3.3,0.1,0
62.7,d_20000101,8.7,0.4,0,0,0,0,28.5,11.9,2.5,0.8,0
62.9,d_20000201,19.4,6.4,0,0,0,0,17.6,6.7,2.1,1.1,0
51.6,d_20000301,31.6,19.4,2.2,0.1,0,0,16.8,5.1,1.7,0.6,0
8.3,d_20000401,91.7,80.6,51.9,33,8.3,0,0,0,0,0,0
16.4,d_20000501,83.1,72,41.1,13.9,0.6,0,0.5,0,0,0,0
48.5,d_20000601,20.9,12.5,5.1,1.6,0.2,0,30.5,19.1,5.1,1,0
36,d_20000701,6.4,3.4,0,0,0,0,57.6,37.6,11.4,1.7,0
25.5,d_20000801,5.9,1.4,0,0,0,0,68.6,46.3,16,5.8,0.3
17.8,d_20000901,9,5.5,0.1,0,0,0,73.3,56.4,20.2,6.4,1.2
43.3,d_20001001,10.2,6.6,0.1,0,0,0,46.5,26.8,6.3,1.9,0.4
44.1,d_20001101,4.7,0.2,0,0,0,0,51.2,28.7,5,2.3,0.7
33.7,d_20001201,5.3,0.6,0,0,0,0,61.1,36.8,10.8,3.6,1
33,d_20010101,0,0,0,0,0,0,66.9,41.4,13.3,3.4,0.9
